PD_whole_tree	chao1	observed_otus	shannon	simpson
CS.241	75.66734	726.2	368	6.85324627946	0.981113127223
L.034.M1	70.75508	1058.01587302	460	7.21846032357	0.984031395885
CS.103	70.81369	545.630434783	328	6.92782641686	0.982591205694
L.024.M1	56.79889	802.368421053	372	6.56552259482	0.975507403566
CS.110	51.46509	583.4	248	5.88367919275	0.961447802687
CS.165	47.92018	880.625	275	6.05074099901	0.969080767146
CS.325	33.53254	593.5625	249	5.50557691382	0.947953477545
CS.233	64.39509	465.069767442	264	6.00055573421	0.962936333098
CS.113	52.11911	711.1	271	5.87817746828	0.959037759592
CS.150	66.94112	824.529411765	365	6.447622457	0.972313900492
CS.358	36.71331	589.146341463	275	5.4880058848	0.937236755378
CS.234	37.48329	452.083333333	258	5.59677968789	0.941445838593
CS.336	62.30037	949.9	364	6.8173638144	0.982815922398
CS.212	51.51703	783.568965517	372	6.52368319866	0.972152330924
CS.363	57.88742	679.428571429	352	6.70540903014	0.978099920108
CS.191	74.677	1144.9	440	7.05419639048	0.979959494379
CS.187	60.15305	960.222222222	375	6.40752613733	0.965895974022
CS.188	59.07432	1038.67164179	464	6.99794933946	0.97794009253
CS.078	56.3662	589.727272727	297	6.3682733954	0.975743443204
CS.364	43.52221	580.181818182	319	6.22348126099	0.969224481317
CS.223	61.99983	848	386	6.74119286332	0.98001654455
CS.112	52.42753	423.823529412	241	5.87623492148	0.956752704276
CS.202	50.96405	914.645833333	366	6.07334563574	0.954360952076
CS.152	87.54165	1207.08196721	501	7.57518731551	0.989029600546
CS.194	40.20467	712.2	330	6.10918845056	0.964248487027
CS.320	58.78536	1218.48648649	384	6.76643098394	0.981705839303
CS.285	38.21263	564.869565217	217	5.70768438952	0.966143772092
CS.227	37.19008	544.565217391	213	5.53732353545	0.953009167875
CS.080	46.68489	562.387096774	253	6.1549317024	0.971206865879
CS.343	44.51465	705.75	342	6.32668288632	0.966822277177
CS.361	48.34804	846.65	329	6.0839114268	0.959404448476
CS.321	59.33279	1066.12244898	400	6.50523760779	0.971733817839
CS.318	51.06444	945.837209302	365	6.64404594304	0.975062760632
CS.322	49.82949	778.019230769	356	6.5752519076	0.977547273797
CS.339	42.78467	1062.26086957	298	5.93989961751	0.955460147734
CS.370	66.09111	965	421	6.862358157	0.978998786922
CS.326	56.58978	797.32	350	6.40306491496	0.973306834763
CS.393	55.79994	678.096774194	278	6.02509040176	0.963987188535
CS.253	35.3477	452	193	5.19197465655	0.944494756501
CS.255	63.33195	817.3	386	6.79222140496	0.980752535303
CS.270	55.99204	780.738095238	335	6.42339109332	0.97373710628
CS.145	76.54653	1125.64179104	474	7.01539840853	0.978578531847
CS.390	56.30072	733.5	376	6.48283351825	0.970498311467
CS.262	54.74726	845.833333333	404	6.64796585148	0.975349753476
T.CS.066	82.80711	1037.33333333	448	7.01610680501	0.979691227927
TFS.025	55.15351	777.637931034	381	6.71581603945	0.976676278822
T.CS.055	68.59212	1196.28571429	433	6.76564831284	0.975867559988
TFS.020	74.43619	920	430	7.13757444011	0.984555299362
T.CS.061	64.21836	1020.47169811	419	6.95588355221	0.982369101976
TFS.027	63.11404	821.0625	432	6.63983654244	0.971030053899
TFS.022	85.35109	923.585365854	484	7.53049887882	0.988977776345
T.CS.031	69.59732	1055.25	450	7.10036882505	0.982170950619
T.CS.049	50.15581	862.62	372	6.56196279248	0.974686055305
T.CS.036	73.66872	728.75	384	6.98749520503	0.980229067323
TFS.021	74.06193	1249.06521739	589	7.7528956303	0.9875297472
T.CS.064	78.30626	1207.17808219	508	7.17147354262	0.977475852209
T.CS.045	65.05925	893.169491525	403	6.35761728919	0.947492721204
T.CS.026	47.56452	644.87755102	327	6.29978642405	0.972353966261
T.CS.008	57.31252	887.5	436	6.58064120084	0.956473114889
T.CS.151	68.85297	1059.6557377	451	6.86014303146	0.976006919184
T.CS.109	84.20443	1256.125	487	7.446466494	0.9877030752
T.CS.158	79.81069	1075.36842105	497	7.07137945874	0.977147922601
T.CS.157	60.1959	897.659574468	371	6.57682651712	0.974680829335
T.CS.095	81.92477	1068.01408451	494	7.4123257758	0.984782193553
T.CS.152	71.33776	1121.63793103	453	6.84242072759	0.972753317457
T.CS.166	78.041	1034.08333333	472	7.11500391965	0.980617531082
T.CS.142	61.04052	1043.50847458	428	6.72773244955	0.977238506078
T.CS.141	57.93121	978.701754386	415	6.85157191148	0.979743487625
