PD_whole_tree	chao1	observed_otus	shannon	simpson
T.CS.085	67.32207	1189.93617021	423	6.75640819582	0.974365964652
T.CS.056	54.67527	866.294117647	327	6.30850200919	0.966642852212
T.CS.016	64.4371	1012.55813953	384	6.9380758968	0.984133737794
T.CS.004	69.63832	1299.5	497	7.23067328989	0.984696836045
T.CS.071	75.36113	1266.04761905	491	6.97095459806	0.97511153635
T.CS.028	75.67955	1309.42857143	487	7.08161433161	0.977649180209
T.CS.001	51.28516	791.918367347	361	6.26814834108	0.959664440476
T.CS.019	51.89856	844	329	6.03312979281	0.962033982304
T.CS.067	58.81348	1082.875	415	6.37526497002	0.963068724334
T.CS.029	80.9126	789.4	412	6.94437874091	0.976970239626
T.CS.052	61.68187	710.631578947	358	6.74864951566	0.98111878869
T.CS.007	48.22489	745.765957447	335	6.23828935331	0.967427618684
T.CS.025	66.86535	1078.41176471	408	6.7995361445	0.98035971657
T.CS.105	90.85852	720.303571429	386	7.05814609918	0.983396876046
T.CS.134	69.54457	928.512820513	456	6.67915939831	0.969938697196
T.CS.100	87.11607	828.518518519	426	7.47301869175	0.988512665029
T.CS.092	87.55825	790.051724138	426	7.29315841023	0.976431529234
T.CS.106	83.0265	801.554054054	430	6.87441342946	0.974452193154
T.CS.144	74.32503	977.3	446	7.07943433156	0.978432640188
T.CS.104	88.68259	1167.47457627	467	6.90910636658	0.974018873155
T.CS.153	94.78263	798.096385542	464	7.22965710182	0.981313891564
T.CS.102	79.21437	1029.43589744	481	6.92900697563	0.975910674239
T.CS.112	63.0913	1166.23404255	405	6.46998238807	0.970981713678
T.CS.108	89.05924	970.538461538	419	7.15242853132	0.985449375703
T.CS.116	65.95387	635.9375	296	6.41060627964	0.969754917257
T.CS.128	86.10473	1189.06976744	430	7.01123743532	0.977528982902
T.CS.147	89.123	1253.72727273	553	7.66722871465	0.988291432306
T.CS.117	62.96756	1080.01886792	410	6.52233215633	0.971533053497
CS.246	72.58829	1082.61111111	425	6.81818603639	0.977180149415
CS.238	66.18718	604	310	6.78334257858	0.982936990699
CS.241	75.66734	726.2	368	6.85324627946	0.981113127223
CS.088	40.29899	544.913043478	224	5.70294605883	0.957408127994
CS.356	35.34788	606.034482759	251	5.96774327889	0.970047136071
CS.242	73.69293	1106.54237288	435	6.62854487692	0.96826377386
CS.103	70.81369	545.630434783	328	6.92782641686	0.982591205694
CS.015	55.59772	709.317073171	312	5.93450621484	0.95455779694
CS.237	57.98729	597.757575758	277	5.98425714399	0.957877158788
CS.087	50.38845	781.75	295	5.78199966618	0.947000173546
L.024.M1	56.79889	802.368421053	372	6.56552259482	0.975507403566
L.034.M1	70.75508	1058.01587302	460	7.21846032357	0.984031395885
CS.082	89.14972	719	410	7.08168303188	0.980971155042
CS.085	80.66386	677.960784314	376	7.1406687311	0.98487277703
CS.006	60.00565	727.487179487	319	6.23407554922	0.959827752034
CS.304	50.77043	666.95	295	6.06768128883	0.9621907614
CS.191	74.677	1144.9	440	7.05419639048	0.979959494379
CS.347.0	43.29714	470.034482759	232	6.06462280369	0.969047669337
CS.336	62.30037	949.9	364	6.8173638144	0.982815922398
CS.308.0	46.10123	522.451612903	235	5.26081522864	0.933720548666
CS.228	56.21136	460.108108108	254	6.01750865849	0.96295157551
CS.274	52.58266	803.725806452	390	6.69418497968	0.973216686783
CS.338	59.59067	761.9	341	6.63836859261	0.977309056671
CS.330	57.16872	860.245283019	389	6.71392196499	0.973972710421
CS.165	47.92018	880.625	275	6.05074099901	0.969080767146
CS.387	64.93147	915.957746479	427	6.94966765719	0.982711838498
CS.187	60.15305	960.222222222	375	6.40752613733	0.965895974022
CS.212	51.51703	783.568965517	372	6.52368319866	0.972152330924
CS.233	64.39509	465.069767442	264	6.00055573421	0.962936333098
CS.188	59.07432	1038.67164179	464	6.99794933946	0.97794009253
CS.361	48.34804	846.65	329	6.0839114268	0.959404448476
CS.343	44.51465	705.75	342	6.32668288632	0.966822277177
CS.285	38.21263	564.869565217	217	5.70768438952	0.966143772092
CS.158	52.29032	487.75	237	6.1880105362	0.974004937235
CS.320	58.78536	1218.48648649	384	6.76643098394	0.981705839303
CS.223	61.99983	848	386	6.74119286332	0.98001654455
CS.319	53.9492	753.385964912	361	6.3871986511	0.967597462705
CS.339	42.78467	1062.26086957	298	5.93989961751	0.955460147734
CS.322	49.82949	778.019230769	356	6.5752519076	0.977547273797
CS.331	69.81227	900.166666667	402	6.84844477802	0.980614047102
CS.112	52.42753	423.823529412	241	5.87623492148	0.956752704276
CS.227	37.19008	544.565217391	213	5.53732353545	0.953009167875
CS.163	48.48348	482.724137931	224	5.61125977418	0.957438177321
CS.202	50.96405	914.645833333	366	6.07334563574	0.954360952076
CS.080	46.68489	562.387096774	253	6.1549317024	0.971206865879
CS.390	56.30072	733.5	376	6.48283351825	0.970498311467
CS.262	54.74726	845.833333333	404	6.64796585148	0.975349753476
CS.370	66.09111	965	421	6.862358157	0.978998786922
CS.145	76.54653	1125.64179104	474	7.01539840853	0.978578531847
CS.326	56.58978	797.32	350	6.40306491496	0.973306834763
CS.255	63.33195	817.3	386	6.79222140496	0.980752535303
CS.270	55.99204	780.738095238	335	6.42339109332	0.97373710628
CS.253	35.3477	452	193	5.19197465655	0.944494756501
CS.393	55.79994	678.096774194	278	6.02509040176	0.963987188535
T.CS.061	64.21836	1020.47169811	419	6.95588355221	0.982369101976
TFS.020	74.43619	920	430	7.13757444011	0.984555299362
T.CS.026	47.56452	644.87755102	327	6.29978642405	0.972353966261
TFS.022	85.35109	923.585365854	484	7.53049887882	0.988977776345
T.CS.064	78.30626	1207.17808219	508	7.17147354262	0.977475852209
TFS.025	55.15351	777.637931034	381	6.71581603945	0.976676278822
T.CS.031	69.59732	1055.25	450	7.10036882505	0.982170950619
T.CS.066	82.80711	1037.33333333	448	7.01610680501	0.979691227927
T.CS.045	65.05925	893.169491525	403	6.35761728919	0.947492721204
TFS.021	74.06193	1249.06521739	589	7.7528956303	0.9875297472
T.CS.008	57.31252	887.5	436	6.58064120084	0.956473114889
TFS.027	63.11404	821.0625	432	6.63983654244	0.971030053899
T.CS.036	73.66872	728.75	384	6.98749520503	0.980229067323
T.CS.049	50.15581	862.62	372	6.56196279248	0.974686055305
T.CS.055	68.59212	1196.28571429	433	6.76564831284	0.975867559988
T.CS.157	60.1959	897.659574468	371	6.57682651712	0.974680829335
T.CS.141	57.93121	978.701754386	415	6.85157191148	0.979743487625
T.CS.152	71.33776	1121.63793103	453	6.84242072759	0.972753317457
T.CS.095	81.92477	1068.01408451	494	7.4123257758	0.984782193553
T.CS.158	79.81069	1075.36842105	497	7.07137945874	0.977147922601
T.CS.142	61.04052	1043.50847458	428	6.72773244955	0.977238506078
T.CS.151	68.85297	1059.6557377	451	6.86014303146	0.976006919184
T.CS.109	84.20443	1256.125	487	7.446466494	0.9877030752
T.CS.166	78.041	1034.08333333	472	7.11500391965	0.980617531082
